Gambar,Warna_R,Warna_G,Warna_B,Kontras,Homogenitas,Area,Keliling
ambon (57).png,6.560994583333334,15.353516083333334,17.189781333333336,3.974370290096698,0.9513601586676591,417345.0,18150.056156962903
ambon (58).png,8.98950275,17.37591975,19.106836833333336,4.972482994331445,0.9472288700971718,643357.0,27600.388365685834
ambon (59).png,7.86462675,15.432618083333335,17.109167333333335,5.05795348449483,0.9549217067155393,606145.0,24780.164522576226
ambon (6).png,11.757997750000001,19.463062583333336,20.721307583333335,6.08357522714012,0.9454637965341537,1.0,0.0
ambon (60).png,6.845103416666667,12.592162333333334,13.794021666666668,4.107008169389797,0.9508737928581399,399948.0,26281.35369833168
ambon (61).png,8.945649916666667,15.71522,17.188548416666666,4.1820715238412784,0.9528292904127936,1236.0,418.69953083036154
ambon (62).png,8.689795666666667,17.407539833333335,19.26930725,4.628503001000334,0.9468175375129103,503720.0,23457.804132883015
ambon (63).png,8.115835416666668,15.195297916666668,16.169766333333335,8.94883744581527,0.9563728278215505,1.0,0.0
ambon (64).png,7.973201,13.4981325,14.543996166666668,9.011456152050682,0.9618687460423317,14.0,11.621320343559642
ambon (65).png,11.421627583333334,22.417236083333336,23.661902,13.606217239079692,0.9384508486395835,1042651.0,21019.195333993805
ambon (7).png,14.4956785,21.628114083333333,22.518710416666668,5.649883637576062,0.9347402862708534,775011.0,16337.307493959765
ambon (8).png,16.10307991666667,24.27739725,25.047340333333334,5.706348420438445,0.9338102061748329,902625.0,18509.26099223429
ambon (9).png,14.745327416666667,25.401171750000003,26.529021083333333,7.639819121447026,0.9210238324526154,1063056.0,24161.80604545532
